iter	Passed	Remaining
406	9116	35680
407	9130	35626
408	9143	35569
409	9157	35514
410	9171	35458
411	9185	35402
412	9198	35347
413	9212	35294
414	9226	35238
415	9240	35184
416	9253	35128
417	9268	35080
418	9283	35028
419	9297	34977
420	9307	34908
421	9321	34855
422	9335	34805
423	9349	34750
424	9364	34705
425	9378	34652
426	9393	34603
427	9407	34553
428	9421	34501
429	9435	34451
430	9449	34398
431	9462	34345
432	9476	34296
433	9490	34245
434	9505	34196
435	9518	34145
436	9532	34094
437	9542	34028
438	9557	33983
439	9566	33919
440	9581	33870
441	9594	33820
442	9609	33773
443	9623	33724
444	9637	33677
445	9651	33627
446	9664	33578
447	9679	33532
448	9693	33485
449	9707	33438
450	9723	33397
451	9738	33352
452	9753	33307
453	9767	33261
454	9787	33234
455	9802	33191
456	9820	33158
457	9835	33114
458	9852	33078
459	9867	33035
460	9884	32998
461	9899	32956
462	9913	32908
463	9934	32885
464	9953	32856
465	9967	32811
466	9983	32770
467	9997	32726
468	10018	32704
469	10028	32646
470	10043	32605
471	10058	32560
472	10072	32517
473	10087	32476
474	10103	32436
475	10118	32395
476	10128	32339
477	10143	32296
478	10158	32257
479	10173	32215
480	10193	32189
481	10208	32149
482	10223	32108
483	10238	32068
484	10258	32045
485	10275	32011
486	10290	31970
487	10304	31927
488	10318	31882
489	10338	31858
490	10354	31823
491	10369	31782
492	10389	31758
493	10405	31720
494	10419	31680
495	10436	31645
496	10451	31606
497	10465	31564
498	10479	31521
499	10506	31519
500	10519	31475
501	10533	31433
502	10548	31393
503	10563	31354
504	10577	31314
505	10592	31273
506	10606	31232
507	10620	31193
508	10635	31153
509	10648	31111
510	10663	31072
511	10677	31032
512	10691	30991
513	10706	30952
514	10719	30910
515	10730	30859
516	10744	30820
517	10758	30781
518	10773	30744
519	10788	30704
520	10805	30674
521	10819	30633
522	10832	30592
523	10846	30553
524	10861	30514
525	10876	30479
526	10890	30439
527	10904	30400
528	10918	30362
529	10932	30321
530	10956	30312
531	10971	30274
532	10984	30234
533	11000	30198
534	11014	30162
535	11029	30124
536	11043	30087
537	11054	30039
538	11068	30002
539	11084	29968
540	11098	29930
541	11113	29896
542	11128	29860
543	11144	29826
544	11158	29790
545	11172	29753
546	11187	29716
547	11201	29679
548	11216	29643
549	11230	29607
550	11244	29569
551	11258	29534
552	11273	29498
553	11287	29462
554	11301	29425
555	11316	29391
556	11330	29354
557	11345	29319
558	11359	29283
559	11375	29250
560	11390	29216
561	11401	29172
562	11414	29135
563	11428	29099
564	11442	29061
565	11453	29017
566	11467	28983
567	11481	28946
568	11496	28913
569	11510	28878
570	11525	28843
571	11540	28810
572	11555	28776
573	11569	28741
574	11584	28709
575	11595	28665
576	11608	28629
577	11622	28593
578	11636	28559
579	11652	28528
580	11662	28484
581	11672	28439
582	11687	28405
583	11701	28372
584	11716	28340
585	11730	28305
586	11744	28271
587	11758	28236
588	11772	28201
589	11786	28167
590	11800	28134
591	11815	28102
592	11829	28066
593	11837	28020
594	11852	27988
595	11867	27956
596	11882	27924
597	11896	27892
598	11911	27859
599	11925	27827
600	11939	27792
601	11953	27759
602	11968	27727
603	11983	27695
604	11997	27664
605	12013	27634
606	12028	27604
607	12043	27572
608	12059	27543
609	12073	27511
610	12088	27481
611	12102	27448
612	12117	27417
613	12132	27387
614	12148	27358
615	12163	27327
616	12173	27286
617	12188	27256
618	12202	27224
619	12216	27192
620	12231	27160
621	12245	27129
622	12256	27091
623	12271	27059
624	12285	27029
625	12299	26995
626	12313	26962
627	12327	26931
628	12336	26890
629	12347	26850
630	12363	26823
631	12379	26795
632	12393	26763
633	12411	26742
634	12427	26713
635	12441	26682
636	12456	26654
637	12477	26637
638	12493	26608
639	12507	26578
640	12521	26546
641	12536	26517
642	12549	26484
643	12564	26455
644	12578	26424
645	12593	26395
646	12606	26363
647	12620	26331
648	12635	26302
649	12649	26271
650	12663	26242
651	12677	26210
652	12692	26181
653	12706	26151
654	12720	26121
655	12734	26091
656	12748	26059
657	12763	26030
658	12777	26001
659	12791	25971
660	12805	25941
661	12819	25909
662	12833	25880
663	12847	25850
664	12861	25819
665	12875	25790
666	12889	25758
667	12903	25730
668	12917	25700
669	12932	25671
670	12945	25640
671	12959	25610
672	12973	25580
673	12986	25549
674	13001	25521
675	13015	25492
676	13030	25465
677	13045	25436
678	13060	25408
679	13074	25380
680	13088	25349
681	13102	25321
682	13117	25294
683	13133	25267
684	13147	25238
685	13161	25209
686	13170	25171
687	13183	25141
688	13198	25112
689	13211	25082
690	13224	25052
691	13238	25023
692	13253	24995
693	13267	24967
694	13281	24937
695	13294	24908
696	13308	24879
697	13322	24850
698	13337	24823
699	13351	24795
700	13365	24767
701	13380	24740
702	13395	24714
703	13409	24685
704	13423	24656
705	13437	24628
706	13450	24599
707	13464	24571
708	13489	24563
709	13504	24535
710	13518	24507
711	13532	24480
712	13546	24451
713	13560	24424
714	13575	24397
715	13588	24367
716	13602	24339
717	13616	24312
718	13629	24283
719	13644	24256
